C	P	Node
1	None	4 7 8 2 1 5 3 6 0
2	1	4 7 8 2 1 5 3 0 6
3	1	4 7 8 2 1 0 3 6 5
4	2	4 7 8 2 1 5 0 3 6
5	2	4 7 8 2 0 5 3 1 6
6	3	4 7 8 2 0 1 3 6 5
7	3	4 7 0 2 1 8 3 6 5
8	4	4 7 8 0 1 5 2 3 6
9	5	4 7 8 0 2 5 3 1 6
10	5	4 7 8 2 5 0 3 1 6
11	5	4 0 8 2 7 5 3 1 6
12	6	4 7 8 0 2 1 3 6 5
13	6	4 0 8 2 7 1 3 6 5
14	6	4 7 8 2 6 1 3 0 5
15	7	4 0 7 2 1 8 3 6 5
16	8	4 7 8 1 0 5 2 3 6
17	8	0 7 8 4 1 5 2 3 6
18	9	0 7 8 4 2 5 3 1 6
19	9	4 7 8 3 2 5 0 1 6
20	10	4 7 0 2 5 8 3 1 6
21	10	4 7 8 2 5 6 3 1 0
22	11	0 4 8 2 7 5 3 1 6
23	11	4 8 0 2 7 5 3 1 6
24	12	0 7 8 4 2 1 3 6 5
25	12	4 7 8 3 2 1 0 6 5
26	13	0 4 8 2 7 1 3 6 5
27	13	4 8 0 2 7 1 3 6 5
28	14	4 7 8 2 6 1 0 3 5
29	14	4 7 8 2 6 1 3 5 0
30	15	0 4 7 2 1 8 3 6 5
31	15	4 1 7 2 0 8 3 6 5
32	16	4 7 8 1 5 0 2 3 6
33	16	4 0 8 1 7 5 2 3 6
34	16	4 7 8 1 3 5 2 0 6
35	17	7 0 8 4 1 5 2 3 6
36	18	7 0 8 4 2 5 3 1 6
37	19	4 7 8 3 2 5 1 0 6
38	20	4 0 7 2 5 8 3 1 6
39	21	4 7 8 2 5 6 3 0 1
40	22	2 4 8 0 7 5 3 1 6
41	23	4 8 5 2 7 0 3 1 6
42	24	7 0 8 4 2 1 3 6 5
43	25	4 7 8 3 2 1 6 0 5
44	26	2 4 8 0 7 1 3 6 5
45	27	4 8 1 2 7 0 3 6 5
46	28	4 7 8 0 6 1 2 3 5
47	29	4 7 8 2 6 0 3 5 1
48	30	2 4 7 0 1 8 3 6 5
49	31	4 1 7 0 2 8 3 6 5
50	31	4 1 7 2 8 0 3 6 5
51	31	4 1 7 2 6 8 3 0 5
52	32	4 7 0 1 5 8 2 3 6
53	32	4 7 8 1 5 6 2 3 0
54	33	0 4 8 1 7 5 2 3 6
55	33	4 8 0 1 7 5 2 3 6
56	34	4 7 8 1 3 5 0 2 6
57	34	4 7 8 1 3 5 2 6 0
58	35	7 8 0 4 1 5 2 3 6
59	35	7 1 8 4 0 5 2 3 6
60	36	7 8 0 4 2 5 3 1 6
61	36	7 2 8 4 0 5 3 1 6
62	37	4 7 8 3 2 5 1 6 0
63	37	4 7 8 3 0 5 1 2 6
64	38	0 4 7 2 5 8 3 1 6
65	38	4 5 7 2 0 8 3 1 6
66	39	4 7 8 2 5 6 0 3 1
67	39	4 7 8 2 0 6 3 5 1
68	40	2 4 8 7 0 5 3 1 6
69	40	2 4 8 3 7 5 0 1 6
70	41	4 8 5 2 0 7 3 1 6
71	41	4 8 5 2 7 6 3 1 0
72	42	7 8 0 4 2 1 3 6 5
73	42	7 2 8 4 0 1 3 6 5
74	43	4 7 8 3 2 1 6 5 0
75	43	4 7 8 3 0 1 6 2 5
76	44	2 4 8 7 0 1 3 6 5
77	44	2 4 8 3 7 1 0 6 5
78	45	4 8 1 2 0 7 3 6 5
79	45	4 8 1 2 7 5 3 6 0
80	46	4 7 8 6 0 1 2 3 5
81	46	0 7 8 4 6 1 2 3 5
82	47	4 7 0 2 6 8 3 5 1
83	48	2 4 7 1 0 8 3 6 5
84	48	2 4 7 3 1 8 0 6 5
85	49	0 1 7 4 2 8 3 6 5
86	49	4 1 7 3 2 8 0 6 5
87	50	4 1 0 2 8 7 3 6 5
88	50	4 1 7 2 8 5 3 6 0
89	51	4 1 7 2 6 8 0 3 5
90	51	4 1 7 2 6 8 3 5 0
91	52	4 0 7 1 5 8 2 3 6
92	53	4 7 8 1 5 6 2 0 3
93	54	1 4 8 0 7 5 2 3 6
94	55	4 8 5 1 7 0 2 3 6
95	56	4 7 8 0 3 5 1 2 6
96	57	4 7 8 1 3 0 2 6 5
97	58	7 8 5 4 1 0 2 3 6
98	59	7 1 8 0 4 5 2 3 6
99	59	7 1 8 4 5 0 2 3 6
100	59	7 1 8 4 3 5 2 0 6
101	60	7 8 5 4 2 0 3 1 6
102	61	7 2 8 0 4 5 3 1 6
103	61	7 2 8 4 5 0 3 1 6
104	61	7 2 8 4 1 5 3 0 6
105	62	4 7 8 3 2 0 1 6 5
106	63	4 7 8 3 5 0 1 2 6
107	63	4 0 8 3 7 5 1 2 6
108	64	2 4 7 0 5 8 3 1 6
109	65	4 5 7 0 2 8 3 1 6
110	65	4 5 7 2 8 0 3 1 6
111	65	4 5 7 2 1 8 3 0 6
112	66	4 7 8 0 5 6 2 3 1
113	67	4 7 8 0 2 6 3 5 1
114	67	4 0 8 2 7 6 3 5 1
